Cód. Artículo;Descripción;Desc. Adicional;Sinónimo;Código de Barras;Precio;Lista de precios;Fecha de última modificación;Art. carpeta nivel 1
29785;LAMPARA BULBO LED SOLAR 10W;;LE2016;;14.676,0000;LISTA 1;14/12/2023;180º ILUMINACION
29786;APLIQUE WENDY II;;38040/NE;;42.312,0000;LISTA 1;14/12/2023;180º ILUMINACION
29840;COLGANTE DISCO STU ;9 LUCES ;19019;;429.271,0000;LISTA 1;14/12/2023;180º ILUMINACION
30042;APLIQUE SUGUS BLANCO 24W 120MM;;18006/BL;;178.144,0000;LISTA 1;14/12/2023;180º ILUMINACION
30043;APLIQUE SUGUS NEGRO 24W 120MM;;18006/NE;;178.144,0000;LISTA 1;14/12/2023;180º ILUMINACION
30134;APLIQUE FLAP;BIDIRECCIONAL;32016;;66.938,0000;LISTA 1;14/12/2023;180º ILUMINACION
30234;COLGANTE GIN;;19041;;49.681,0000;LISTA 1;14/12/2023;180º ILUMINACION
30235;COLGANTE NEST;CAÑA DE BAMBU E27;19068;;254.860,0000;LISTA 1;14/12/2023;180º ILUMINACION
30346;APLIQUE BART;BIDIRECCIONAL;32052;;104.277,0000;LISTA 1;14/12/2023;180º ILUMINACION
30382;APLIQUE AXEL ;BIDIRECCIONAL;32051;;97.644,0000;LISTA 1;14/12/2023;180º ILUMINACION
30484;APLIQUE NORLY II ;10W 3000K;14001/02;;75.718,0000;LISTA 1;14/12/2023;180º ILUMINACION
30505;EMBUTIDO PARED BCO RECTANG.;;32021/BL;;17.275,0000;LISTA 1;14/12/2023;180º ILUMINACION
30506;EMBUTIDO PARED NGO RECTANG.;;32021/NE;;17.275,0000;LISTA 1;14/12/2023;180º ILUMINACION
30507;EMBUTIDO PARED BCO CUADR 2W ;;32022/BL;;17.275,0000;LISTA 1;14/12/2023;180º ILUMINACION
30508;EMBUTIDO PARED NGO CUADR 2W;;32022/NE;;17.275,0000;LISTA 1;14/12/2023;180º ILUMINACION
30641;EMBUTIDO PARED ACE CUADR 2W;EMB.ACERO 2W;32022;;23.028,0000;LISTA 1;14/12/2023;180º ILUMINACION
30667;APLIQUE UNA LUZ ORO;MILK ORO 1 LUZ;15065/OR;;52.753,0000;LISTA 1;14/12/2023;180º ILUMINACION
30668;APLIQUE PARED 1 LUZ BCO;;19044/BL;;56.001,0000;LISTA 1;14/12/2023;180º ILUMINACION
30669;APLIQUE PARED 1 LUZ NEGRO;;19044/NE;;56.001,0000;LISTA 1;14/12/2023;180º ILUMINACION
30934;EMBUTIDO 6W NEGRO 3000K;26040/NE/E/RE/BC;26040/NE/E/RE/B;;7.921,0000;LISTA 1;14/12/2023;180º ILUMINACION
30935;EMBUTIDO 18W NEGRO 3000K;26044/NE/E/RE/BC;26044/NE/E/RE/B;;10.132,0000;LISTA 1;14/12/2023;180º ILUMINACION
31374;LAMP. AR111 10W ROJA;;LE1003/RO;;23.888,0000;LISTA 1;14/12/2023;180º ILUMINACION
31375;LAMP. AR111 10W VERDE;;LE1003/VE;;23.888,0000;LISTA 1;14/12/2023;180º ILUMINACION
31376;LAMP. AR111 10W AZUL;;LE1003/AZ;;23.888,0000;LISTA 1;14/12/2023;180º ILUMINACION
31377;LAMP. BULBO 6W GROW LAMP;;LE2044;;9.763,0000;LISTA 1;14/12/2023;180º ILUMINACION
31378;LAMP. BULBO UV A60 6W ;LUZ NEGRA;LE2019;;20.320,0000;LISTA 1;14/12/2023;180º ILUMINACION
31417;COLGANTE ELIS 1 LUZ 670X450MM ;OXIDO;19021/OX;;38.881,0000;LISTA 1;14/12/2023;180º ILUMINACION
31418;COLGANTE ODIN;;19061;;79.221,0000;LISTA 1;14/12/2023;180º ILUMINACION
31419;COLGANTE TWIST L 1 LUZ 40MM;NEGRO;19081/NE;;121.596,0000;LISTA 1;14/12/2023;180º ILUMINACION
31550;COLGANTE CRISTAL AMBAR 1L E/27;;15046/AMB;;84.748,0000;LISTA 1;14/12/2023;180º ILUMINACION
31696;APLIQUE QUARON;48W 3000K;19127-;;167.675,0000;LISTA 1;14/12/2023;180º ILUMINACION
31697;APLIQUE ROTOR;30W 3000K ;19152-;;98.692,0000;LISTA 1;14/12/2023;180º ILUMINACION
31700;EMBUTIDO 18W NEGRO 6000K;26044/NE/E/RE/BF;26044/NE/E/RE/F;;10.132,0000;LISTA 1;14/12/2023;180º ILUMINACION
11839;TERMINALES P/CABLES UNIP.CONT;EN FRIO QT II 5633K;QT II 5633K-;;465.617,0000;LISTA 1;31/1/2024;3 M
12782;TERMES P/CAB UNIP.CONTR 5624K;;QT II 5624K;;291.992,0000;LISTA 1;31/1/2024;3 M
17383;TUBO TERMOC.PARED MED. C/ADHES;;HTMW 30-8;;27.588,0000;LISTA 1;31/1/2024;3 M
17585;CINTA AISLAD 770 20MTS;;770.;;2.007,0000;LISTA 1;31/1/2024;3 M
19437;CINTA AISLAD 770 10MTS;;770-.;;813,0000;LISTA 1;31/1/2024;3 M
19617;CINTA AISLAD 1550 18X20MTS;;3M.010;;925,0000;LISTA 1;31/1/2024;3 M
20799;CONECTOR PREAISLADO SCOTCHLOK ;558 ROJO 0.5 A 1MM2;TE601103191;;680,0000;LISTA 1;31/1/2024;3 M
28299;TERMOCONTRAIBLE 3/4 (19MM);;;;117,0000;LISTA 1;25/4/2023;3 M
29700;CINTA TEMFLEX 1550 10 MTS;;3M.009;;803,0000;LISTA 1;31/1/2024;3 M
29727;CINTA TEMFLEX 165 20M;;3M.66052;;1.785,0000;LISTA 1;31/1/2024;3 M
29728;CINTA TEMFLEX 165 10M;;3M.66061;;892,0000;LISTA 1;31/1/2024;3 M
30335;CINTA AISLAD TEMFLEX 175 10MM;;3M.66069;;1.450,0000;LISTA 1;31/1/2024;3 M
30489;CINTA AISLAD TEMFLEX 175 20MM ;;3M.175 20;;2.844,0000;LISTA 1;31/1/2024;3 M
30491;CINTA AISLANTE  AUTOSOLDANTE ;;30491;;10.821,0000;LISTA 1;31/1/2024;3 M
30843;CINTA AISLAD AMARI 18X10;;3M.0092;;118,0000;LISTA 1;20/10/2022;3 M
54007061328;CINTA AISLAD PVC SUPER 33;19MMX20M;3M.020;;6.827,0000;LISTA 1;31/1/2024;3 M
6372;CINTA AISLAD AUTOSOLDANTE N°33;19MMX4M;;;4.651,0000;LISTA 1;31/1/2024;3 M
6952;CINTA AISLAD AUTOSOLDANTE N°23;19MMX9,14M;37776;;13.945,0000;LISTA 1;31/1/2024;3 M
6954;CINTA SUPER  Nº43 AUTOSOLDABLE;19MM X 5M;3M.030;;8.812,0000;LISTA 1;31/1/2024;3 M
6955;CINTA AISLAND Y DE EMPALME;CAUCHO SILICONA Nº70;30677;;134.242,0000;LISTA 1;31/1/2024;3 M
6962;EMPALME RECTO TERMOCONTRAIBLE ;4x6-16mm;KE235117592;;110.178,0000;LISTA 1;31/1/2024;3 M
6969;"TUBO TERMOCON 1/6""-1.5 A 0.75";;6396;35171;523,0000;LISTA 1;31/1/2024;3 M
6970;"TUBO TERMOCON P/FINA 1/4""6 A 3";;6397;35172;835,0000;LISTA 1;31/1/2024;3 M
6971;"TUBO TERMOCON 3/8""-9 A 4.5";;6398;;1.059,0000;LISTA 1;31/1/2024;3 M
6972;"TUBO TERMOCON P/FINA 3/4""";;6399;;2.878,0000;LISTA 1;31/1/2024;3 M
6973;"TUBO TERMOCON 1 1/4""-30 A 15";;6400;;6.045,0000;LISTA 1;31/1/2024;3 M
6974;"TUBO TERMOCON P/FINA 2""50 A 25";;6401;26446.;3.123,0000;LISTA 1;31/1/2024;3 M
6975;"TUBO TERMOCON 1/8""-3 A 1.5";;6402;26447.;613,0000;LISTA 1;31/1/2024;3 M
6976;"TUBO TERMOCON 3/16""-5 A 2.5";;6403;26448.;714,0000;LISTA 1;31/1/2024;3 M
6977;"TUBO TERMOCON P/FINA 5/16""";;FP221;;925,0000;LISTA 1;31/1/2024;3 M
6978;"TUBO TERMOCON 1/2""-11 A 4.5";;6405;;1.237,0000;LISTA 1;31/1/2024;3 M
6979;"TUBO TERMOCON 1""-25 A 12.5";;28914;;3.993,0000;LISTA 1;31/1/2024;3 M
6980;"TUBO TERMOCON 1 1/2""-40 A 20";;35527;;7.898,0000;LISTA 1;31/1/2024;3 M
6981;"TUBO TERMOCON 3/32""2.5 A 1.25";;6408;35526;601,0000;LISTA 1;31/1/2024;3 M
6988;EMPALME RECTO EN FRIO 1KV;;PST 41 R;;110.178,0000;LISTA 1;31/1/2024;3 M
13955;GABINETE C/BAND 1200X1900X350;;;120190/35G;157.996,0000;LISTA 1;25/4/2023;5 M
26789;GABINETE C/BANDEJA 450X450X160;;;4545/16;2.343,0000;LISTA 1;25/4/2023;5 M
30005;GABINETE STD 600 X 1900+100 ;;;60190/35G;85.096,0000;LISTA 1;25/4/2023;5 M
30242;GABINETE STD 80150/22 1PP ;;;80150/22G;71.590,0000;LISTA 1;25/4/2023;5 M
31264;GABINETE DOBLE PUERTA GRIS ;600X1200X320;GAB60120/32;;117.840,0000;LISTA 1;25/4/2023;5 M
10793;BOTONERA RM 010 R-V-N;;RM 010 R-V-N;1200020;10.419,0000;LISTA 1;31/1/2024;A.E.A.
10794;BOTONERA RM 020 R-V-N;;RM 020 R-V-N;1200030;10.542,0000;LISTA 1;31/1/2024;A.E.A.
10795;BOT. G/PUNO C/RET.RM 065R;;RM 065 R;1200150;15.662,0000;LISTA 1;31/1/2024;A.E.A.
10796;OJO DE BUEY  KPL-R 110VCC;;KPL-R 110VDC;;6.749,0000;LISTA 1;31/1/2024;A.E.A.
10797;SELECTORA PAL LARGA RM 400 N;RM 400N ;RM 400N;5420310;10.899,0000;LISTA 1;31/1/2024;A.E.A.
10798;SELECTORA PAL LARGA RM 410 N;;RM 410N;5420370;7.998,0000;LISTA 1;31/1/2024;A.E.A.
10799;BOT. G/PUÑO C/RET. RM 065N;;RM 065 N;1200170;15.662,0000;LISTA 1;31/1/2024;A.E.A.
10800;BOT.LUMINOSA(CUERPO)RM 122;;RM 122;1200220;15.930,0000;LISTA 1;31/1/2024;A.E.A.
10801;MICROINTERR NM-200;;MICRO NM-200;3500311;4.495,0000;LISTA 1;31/1/2024;A.E.A.
10802;MICROINTERR NM-300;;MICRO NM-300;3500317;4.495,0000;LISTA 1;31/1/2024;A.E.A.
11293;TEMPORIZ.ELECTR GT3A-2EAF20;;GT3A-2EAF20;5802000;59.383,0000;LISTA 1;31/1/2024;A.E.A.
11376;RELE 2 INV. RY2S-U 220VCA;;RY2S-UAC220;4404260;17.648,0000;LISTA 1;31/1/2024;A.E.A.
11377;ZOCALO SY2S-05;;SY2S-05;6100490;6.414,0000;LISTA 1;31/1/2024;A.E.A.
12788;SELECTORA PAL LARGA RM 480 N;;RM 480N;5420430;10.899,0000;LISTA 1;31/1/2024;A.E.A.
12924;MICROINTERR NM-500;;MICRO NM-500;3500328;4.495,0000;LISTA 1;31/1/2024;A.E.A.
13132;ZOCALO SR3P-05;;SR3P-05;6100340;8.433,0000;LISTA 1;31/1/2024;A.E.A.
13262;CAMPANILLA  ALARMA CI 2 12 VCA;;CI-2  12VCA;1501320;50.325,0000;LISTA 1;31/1/2024;A.E.A.
13265;RELE 2 INV. RR2P-U 24V CC;;RR2P-UDC 24;4403210;14.268,0000;LISTA 1;31/1/2024;A.E.A.
15533;CAPUCHON TRANSP. P/RM010;;CAP. TRANSP. P/;1200700;3.189,0000;LISTA 1;31/1/2024;A.E.A.
16014;RELE 3 INV. RR3PA-U 110VCC;;RR3PA-UAC110;4403490;16.945,0000;LISTA 1;31/1/2024;A.E.A.
16203;TEMPORIZ.ELECTR GT3A-2EAD24;;GT3A-2EAD24;5802050;73.185,0000;LISTA 1;31/1/2024;A.E.A.
18485;SELECTORA PALA CORTA RM 310 N;;RM 310N;5420170;10.899,0000;LISTA 1;31/1/2024;A.E.A.
18995;ZOCALO SY4S-05;;SY4S-05;6100670;9.337,0000;LISTA 1;31/1/2024;A.E.A.
19016;RELE 4 INVERSOR C/L.C/RM.;;RU4S-D 24;4404990;11.412,0000;LISTA 1;31/1/2024;A.E.A.
19017;RELE 2 INV. RJ2S-C-A24 VCA;;RJ2S-C-A 24;4404590;8.322,0000;LISTA 1;31/1/2024;A.E.A.
19018;RELE 2 INV. RJ2S-C-A220 VCA;;RJ2S-C-A220;4404588;9.895,0000;LISTA 1;31/1/2024;A.E.A.
19727;RELE 2 INV. RY2S-U 6VCC;;RY2S-UDC  6;4404570;10.353,0000;LISTA 1;31/1/2024;A.E.A.
19967;CAP EST TRANS. D22 P 17481T;;P17481 T;0700210;4.439,0000;LISTA 1;31/1/2024;A.E.A.
20187;RELE 2 INV. RY2S-U 24VCC;;RY2S-UDC 24;4404330;10.353,0000;LISTA 1;31/1/2024;A.E.A.
20593;RELE 2 INV. RY2S-U 12VCC;;RY2S-UDC 12;4404220;10.353,0000;LISTA 1;31/1/2024;A.E.A.
20595;ZOCALO SR2P-05C;;SR2P-05U;6100240;8.322,0000;LISTA 1;31/1/2024;A.E.A.
20845;RELE 2 INV. RJ2S-C-A12 VCA;;RJ2S-C-A 12;4404584;8.322,0000;LISTA 1;31/1/2024;A.E.A.
20846;RELE 2 INV. RJ2S-C-D12 VCC;;RJ2S-C-D 12;4404586;6.525,0000;LISTA 1;31/1/2024;A.E.A.
21230;RELE 2 INV. RY2S-L 24VCC;;RY2S-ULDC 24;4404340;13.721,0000;LISTA 1;31/1/2024;A.E.A.
21771;RELE 2 INV. RJ2S-C-D24VCC;;RJ2S-C-D 24;4404592;6.525,0000;LISTA 1;31/1/2024;A.E.A.
21773;RELE 2 INV. RY2S-U 12VCA;;RY2S-UAC 12;4404170;10.353,0000;LISTA 1;31/1/2024;A.E.A.
21774;RELE 2 INV. RY2S-U 110VCA;;RY2S-UAC110;4404110;11.468,0000;LISTA 1;31/1/2024;A.E.A.
21775;ZOCALO SJ1S-05B;;SJ1S-05B;6100480;5.856,0000;LISTA 1;31/1/2024;A.E.A.
22339;RELE 3 INV. RR3PA-U 24VCA;;RR3PA-UAC 24;4403780;16.945,0000;LISTA 1;31/1/2024;A.E.A.
22340;RELE 3 INV RR3PA-U 220VCA;;RR3PA-UAC220;4403720;16.945,0000;LISTA 1;31/1/2024;A.E.A.
23545;MULTITIMER GT3A-2EAF20;;GT3A-2EAF20;5802000;73.185,0000;LISTA 1;31/1/2024;A.E.A.
23835;FUENTE SWITCHING 220VCA/12VCC;;SKS-201T-12;4313601;37.707,0000;LISTA 1;31/1/2024;A.E.A.
23938;GOLPE DE PUñO S/RETENCION ;RM 055;RM 055 R;1200110;14.692,0000;LISTA 1;31/1/2024;A.E.A.
25162;SELECTORA  A PALANCA  7100 N;;7100 N;5200210;7.898,0000;LISTA 1;31/1/2024;A.E.A.
25163;SELECTORA  A PALANCA 8100 N;;8100 N;5300220;7.898,0000;LISTA 1;31/1/2024;A.E.A.
25290;SELECTOR A PALANCA 7200N;;7200 N;5200380;7.898,0000;LISTA 1;31/1/2024;A.E.A.
25291;BOTONERA 1000V;;1000 V;0600170;3.949,0000;LISTA 1;31/1/2024;A.E.A.
25292;BOTONERA 1000R;;1000 R;0600110;3.949,0000;LISTA 1;31/1/2024;A.E.A.
25295;TEMPORIZADOR ELECTRONICO;;GT3W-A11AF20N;5801210;128.664,0000;LISTA 1;31/1/2024;A.E.A.
25352;80.52.11 DESV. UNIP. 10 POS;;80.52.11;2421300;68.219,0000;LISTA 1;31/1/2024;A.E.A.
25431;SENSOR REBOTE SA1E-DP1-2M;;SA1E-DP1-2M;1880512;81.685,0000;LISTA 1;31/1/2024;A.E.A.
25621;ZOCALO SY2S-05B;;SY2S-05B;6100495;6.414,0000;LISTA 1;31/1/2024;A.E.A.
25685;MULTITIMER GT3A-2EAD24;;GT3A-2EAD24;5802050;60.321,0000;LISTA 1;31/1/2024;A.E.A.
25811;RELE 2 INV. RY2S-L 24 VCC;;RY2S-ULDC 24;4404340;11.222,0000;LISTA 1;31/1/2024;A.E.A.
26856;ZOCALO SY4S-05B;;SY4S-05B;6100673;9.337,0000;LISTA 1;31/1/2024;A.E.A.
26857;RELE 2 INV. RY2S-U 24VCA;;RY2S-UAC 24;4404280;10.353,0000;LISTA 1;31/1/2024;A.E.A.
27023;SELECT. A PAL CORTA RM 300/N ;;RM 300N;5420110;10.899,0000;LISTA 1;31/1/2024;A.E.A.
27102;SELECTORA PAL.CORTA RM310 N 3P;;RM 310N;5420170;7.239,0000;LISTA 1;31/1/2024;A.E.A.
27131;SENSOR CAPACITIVO D30 CA/CC-NA;;8PN-M3030U-O2U2;1830139;97.917,0000;LISTA 1;31/1/2024;A.E.A.
27132;SENSOR CAPACITIVO CA/CC-NC ;;8PN-M3030U-C2U2;1830137;97.917,0000;LISTA 1;31/1/2024;A.E.A.
27639;RELE 2 INV. RY2S-L  24VCA;;RY2S-ULAC 24;4404290;13.721,0000;LISTA 1;31/1/2024;A.E.A.
27698;FIBRA OPTICA REBOTE M6 BFR-610;;BFR-610;1882119;80.658,0000;LISTA 1;31/1/2024;A.E.A.
27737;ZOCALO SY4S-51;;SY4S-51;6100720;2.364,0000;LISTA 1;31/1/2024;A.E.A.
27833;ZOCALO C/PROTECCIO SR3P-05C;;SR3P-05C;6100350;10.899,0000;LISTA 1;31/1/2024;A.E.A.
27900;FUENTE 220V/24V 2.1A SKS-50-24;;SKS-50-24;4313200;16.700,0000;LISTA 1;31/1/2024;A.E.A.
28006;SELECTORA LUMINOSA RM 650R;;RM 650R;5440050;17.225,0000;LISTA 1;31/1/2024;A.E.A.
28024;FUENTE 220V/24V 20.8A ;;HS-500-24;4313820;98.230,0000;LISTA 1;31/1/2024;A.E.A.
28193;MODULO DE EXPANSION IO-;;IO-D16A3-RO16;4304805;706.737,0000;LISTA 1;31/1/2024;A.E.A.
28455;CAMPANILLA  ALARMA CI - ;;CI-2 220VCC;1501050;62.407,0000;LISTA 1;31/1/2024;A.E.A.
28492;FUENTE 220V/24V  4.5A ;;SKS-100-24;4313400;22.758,0000;LISTA 1;31/1/2024;A.E.A.
28493;FUENTE 220V/24V  6A SKS-145-24;;SKS-145-24;4313500;28.381,0000;LISTA 1;31/1/2024;A.E.A.
28535;FUENTE 220V/24V 14.6A ;;SKS-350-24;4313800;45.071,0000;LISTA 1;31/1/2024;A.E.A.
28536;SOPORTE VERTICAL P/SKS-201T-;;S.V.SKS-201T-25;4314013;9.091,0000;LISTA 1;31/1/2024;A.E.A.
28537;SOPORTE VERTICAL P/SKS-100-145;;SOP.VERP/SKS-10;4314012;9.091,0000;LISTA 1;31/1/2024;A.E.A.
28998;BOTONERA C/RET. (CUERPO) RM030;;RM 030;1200060;758,0000;LISTA 1;31/1/2024;A.E.A.
28999;SELECTORA PAL. LARGA RM 410N;;RM 410N;5420370;10.899,0000;LISTA 1;31/1/2024;A.E.A.
29116;ZOCALO SR3P-05B;;SR3P-05B;6100345;8.433,0000;LISTA 1;31/1/2024;A.E.A.
29117;RELE 4 INV.C/L C/RM RU4S 110VC;;RU4S-A110;4404640;11.412,0000;LISTA 1;31/1/2024;A.E.A.
29118;RELE 4 INV.C/L C/RM RU4S 24VCA;;RU4S-A 24 **;4404930;11.412,0000;LISTA 1;31/1/2024;A.E.A.
29726;ZOCALO SR2P-05 B;;SR2P-05B;6100235;6.525,0000;LISTA 1;31/1/2024;A.E.A.
30200;SELECTORA PAL. LARGA RM 410N ;;RM 400N;5420310;7.507,0000;LISTA 1;31/1/2024;A.E.A.
30601;RELE 4 INV.C/L C/RM RU4S ;;RU4S-D110;4404700;11.412,0000;LISTA 1;31/1/2024;A.E.A.
30602;BOTONERA C/PULSADOR PROTEGIDO ;;RP 030;1210060;3.536,0000;LISTA 1;31/1/2024;A.E.A.
4313400;FUENTE 220V/24V 4.5A;;SKS-100-24;4313400;30.311,0000;LISTA 1;31/1/2024;A.E.A.
4404086;RELE 1 INVERSOR 220V;;RJ1S-C-A220;4404086;9.091,0000;LISTA 1;31/1/2024;A.E.A.
4404260;RELE 2 INVERSOR RY2S-UAC220;;RY2S-UAC220;4404260;14.558,0000;LISTA 1;31/1/2024;A.E.A.
6100675;ZOCALO SJ2S-05B 6100675;;SJ2S-05B;6100675;6.749,0000;LISTA 1;31/1/2024;A.E.A.
700200;REDUCTOR DIAM.30  0700200;;REDUCTOR D.30 A;0700200;2.499,0000;LISTA 1;31/1/2024;A.E.A.
9754-;CAMPANILLA  ALARMA CI-2 220VCA;;CI-2 220VCA/50H;1501010;50.325,0000;LISTA 1;31/1/2024;A.E.A.
13192;REGULADOR DE VELOCIDAD P/VENT.;;019;;16.053,0000;LISTA 1;31/1/2024;ABROND
13200;CAMPANILLA SUPER 15 BCA;220V 12V C/TRAFO;031;;27.287,0000;LISTA 1;31/1/2024;ABROND
14639;CAMPANILLA C/TRAFO EXT 10X10;;001;;13.130,0000;LISTA 1;31/1/2024;ABROND
14640;ZUMBADOR C/TRAFO EXT 10X10;;004;;11.668,0000;LISTA 1;31/1/2024;ABROND
14641;DIN DON ELECT C/TRAF EXT 12X12;;013;;23.349,0000;LISTA 1;31/1/2024;ABROND
16716;DOS SONIDOS C/TRAFO EXT 10X10;;007;;16.053,0000;LISTA 1;31/1/2024;ABROND
16717;CAMPANILLA ECONOMICA EXT;;071;;10.944,0000;LISTA 1;31/1/2024;ABROND
16718.;TRAFO Y BOBINA 220V 12V V ZEX;;074;;10.218,0000;LISTA 1;31/1/2024;ABROND
17770;CAMPANILLA SUPER 15 CROMADA;220V C/AUX TELEF;037;;36.480,0000;LISTA 1;31/1/2024;ABROND
19926;CAMPANILLA SUPER 8 BCA/BCA;220V 12V C/TRAFO;044;;15.317,0000;LISTA 1;31/1/2024;ABROND
21703;CAMPANILLA SUPER 10 BCA;220V DIRECT S/TRAFO;020;;24.811,0000;LISTA 1;31/1/2024;ABROND
22514;CAMPANILLA SUPER 15 BCA;220V DIRECT S/TRAFO;030;;27.287,0000;LISTA 1;31/1/2024;ABROND
22824;CAMPANILLA SUPER 10 BCA ;220V 12V C/TRAFO;021;;24.811,0000;LISTA 1;31/1/2024;ABROND
